-4.89607 2.14632
-4.86060 2.12807
-4.82675 2.10601
-4.76711 2.05577
-4.73165 2.03362
-4.69672 1.99717
-4.63170 1.93138
-4.59624 1.90801
-4.56078 1.88489
-4.54143 1.88002
-4.49952 1.81965
-4.46406 1.79531
-4.43021 1.77211
-4.35788 1.71561
-4.32766 1.68764
-4.29480 1.66279
-4.23231 1.59240
-4.20177 1.56443
-4.16746 1.54561
-4.12278 1.46498
-4.09008 1.43820
-4.04656 1.41477
-3.99659 1.36420
-3.96112 1.34059
-3.92727 1.31663
-3.85816 1.24424
-3.82706 1.21640
-3.79509 1.19319
-3.73545 1.14731
-3.69722 1.12836
-3.66728 1.10081
-3.60105 1.02450
-3.56659 0.98584
-3.54524 0.95232
-3.49365 0.88782
-3.45819 0.86493
-3.42273 0.84570
-3.36792 0.73765
-3.33989 0.68660
-3.31432 0.66837
-3.26252 0.58752
-3.23230 0.54832
-3.21371 0.52333
-3.19383 0.52333
-3.13479 0.45650
-3.10816 0.39238
-3.09549 0.35642
-3.03284 0.29037
-3.00960 0.25696
-2.99287 0.19933
-2.94274 0.09290
-2.91012 0.07551
-2.87465 0.06796
-2.79728 0.04508
-2.76182 0.03778
-2.72635 0.02950
-2.70701 0.04045
-2.64575 0.00832
-2.60960 -0.01367
-2.58665 -0.05416
-2.53675 -0.16188
-2.50692 -0.20188
-2.48895 -0.24265
-2.47972 -0.36488
-2.47668 -0.43736
-2.47166 -0.48812
-2.46844 -0.62246
-2.46683 -0.68720
-2.46683 -0.74243
-2.46521 -0.87416
-2.46360 -0.96055
